host,Datetime,CPU utilization (%),Memory used  (%)
TWKHH01OPTIPW6V,2021/7/22 09:59,74.5158,69.6177
TWKHH01OPTIPW6V,2021/7/22 09:56,73.3789,69.0268
TWKHH01OPTIPW6V,2021/7/22 09:53,73.9586,69.5724
TWKHH01OPTIPW6V,2021/7/22 09:50,76.0756,69.1494
TWKHH01OPTIPW6V,2021/7/22 09:47,75.114,77.17
TWKHH01OPTIPW6V,2021/7/22 09:44,87.0983,70.5065
TWKHH01OPTIPW6V,2021/7/22 09:41,75.0966,69.8119
TWKHH01OPTIPW6V,2021/7/22 09:38,75.4648,69.7859
TWKHH01OPTIPW6V,2021/7/22 09:35,75.4782,68.8851
TWKHH01OPTIPW6V,2021/7/22 09:32,75.2137,68.8171
TWKHH01OPTIPW6V,2021/7/22 09:29,75.8864,68.6522
TWKHH01OPTIPW6V,2021/7/22 09:26,75.5361,68.467
TWKHH01OPTIPW6V,2021/7/22 09:23,76.0965,67.171
TWKHH01OPTIPW6V,2021/7/22 09:20,75.441,66.9895
TWKHH01OPTIPW6V,2021/7/22 09:17,74.7561,67.7563
TWKHH01OPTIPW6V,2021/7/22 09:14,74.9016,73.9682
TWKHH01OPTIPW6V,2021/7/22 09:11,88.0831,66.7926
TWKHH01OPTIPW6V,2021/7/22 09:08,75.7413,65.6002
TWKHH01OPTIPW6V,2021/7/22 09:05,76.0887,64.0775
TWKHH01OPTIPW6V,2021/7/22 09:02,75.6133,63.9976
TWKHH01OPTIPW6V,2021/7/22 08:59,77.8183,77.614
TWKHH01OPTIPW6V,2021/7/22 08:56,88.6205,80.6289
TWKHH01OPTIPW6V,2021/7/22 08:53,89.3647,78.7305
TWKHH01OPTIPW6V,2021/7/22 08:50,89.9014,72.0188
TWKHH01OPTIPW6V,2021/7/22 08:47,77.6763,72.0676
TWKHH01OPTIPW6V,2021/7/22 08:44,81.8282,72.5408
TWKHH01OPTIPW6V,2021/7/22 08:41,76.4217,70.908
TWKHH01OPTIPW6V,2021/7/22 08:38,75.9956,71.0495
TWKHH01OPTIPW6V,2021/7/22 08:35,75.9359,70.2231
TWKHH01OPTIPW6V,2021/7/22 08:32,75.5619,70.2037
TWKHH01OPTIPW6V,2021/7/22 08:29,73.301,69.9965
TWKHH01OPTIPW6V,2021/7/22 08:26,75.6885,68.8497
TWKHH01OPTIPW6V,2021/7/22 08:23,75.7984,75.9165
TWKHH01OPTIPW6V,2021/7/22 08:20,87.8821,77.3412
TWKHH01OPTIPW6V,2021/7/22 08:17,86.4471,70.4636
TWKHH01OPTIPW6V,2021/7/22 08:14,76.5438,69.2855
TWKHH01OPTIPW6V,2021/7/22 08:11,75.9722,76.7731
TWKHH01OPTIPW6V,2021/7/22 08:08,87.9321,69.1839
TWKHH01OPTIPW6V,2021/7/22 08:05,80.0178,74.9684
TWKHH01OPTIPW6V,2021/7/22 08:02,84.4518,68.7528
TWKHH01OPTIPW6V,2021/7/22 07:59,75.3366,67.4354
TWKHH01OPTIPW6V,2021/7/22 07:56,73.9357,73.3476
TWKHH01OPTIPW6V,2021/7/22 07:53,85.9843,77.6371
TWKHH01OPTIPW6V,2021/7/22 07:50,87.5969,70.4056
TWKHH01OPTIPW6V,2021/7/22 07:47,74.6456,70.4238
TWKHH01OPTIPW6V,2021/7/22 07:44,76.1927,68.9457
TWKHH01OPTIPW6V,2021/7/22 07:41,74.9927,68.7474
TWKHH01OPTIPW6V,2021/7/22 07:38,75.8417,68.1803
TWKHH01OPTIPW6V,2021/7/22 07:35,75.4961,67.5116
TWKHH01OPTIPW6V,2021/7/22 07:32,75.7533,67.5016
TWKHH01OPTIPW6V,2021/7/22 07:29,76.319,67.3598
TWKHH01OPTIPW6V,2021/7/22 07:26,75.2031,70.5077
TWKHH01OPTIPW6V,2021/7/22 07:23,74.2879,70.0264
TWKHH01OPTIPW6V,2021/7/22 07:20,79.2438,78.1954
TWKHH01OPTIPW6V,2021/7/22 07:17,87.9334,71.8694
TWKHH01OPTIPW6V,2021/7/22 07:14,77.2067,68.8637
TWKHH01OPTIPW6V,2021/7/22 07:11,75.2168,67.698
TWKHH01OPTIPW6V,2021/7/22 07:08,75.8613,67.7586
TWKHH01OPTIPW6V,2021/7/22 07:05,75.8836,67.6702
TWKHH01OPTIPW6V,2021/7/22 07:02,75.951,72.2525
TWKHH01OPTIPW6V,2021/7/22 06:59,88.415,67.9745
TWKHH01OPTIPW6V,2021/7/22 06:56,75.2479,67.8718
TWKHH01OPTIPW6V,2021/7/22 06:53,75.9137,68.74
TWKHH01OPTIPW6V,2021/7/22 06:50,76.3727,68.6525
TWKHH01OPTIPW6V,2021/7/22 06:47,76.4538,68.4858
TWKHH01OPTIPW6V,2021/7/22 06:44,73.4613,71.2574
TWKHH01OPTIPW6V,2021/7/22 06:41,74.9344,69.1779
TWKHH01OPTIPW6V,2021/7/22 06:38,76.9969,77.3732
TWKHH01OPTIPW6V,2021/7/22 06:35,88.0822,68.9558
TWKHH01OPTIPW6V,2021/7/22 06:32,75.9518,76.5112
TWKHH01OPTIPW6V,2021/7/22 06:29,88.3758,71.967
TWKHH01OPTIPW6V,2021/7/22 06:26,79.3448,67.157
TWKHH01OPTIPW6V,2021/7/22 06:23,70.3757,67.0144
TWKHH01OPTIPW6V,2021/7/22 06:20,75.8149,66.9976
TWKHH01OPTIPW6V,2021/7/22 06:17,75.3854,66.9056
TWKHH01OPTIPW6V,2021/7/22 06:14,73.688,67.5887
TWKHH01OPTIPW6V,2021/7/22 06:11,75.5167,67.4352
TWKHH01OPTIPW6V,2021/7/22 06:08,75.2951,67.0551
TWKHH01OPTIPW6V,2021/7/22 06:05,70.7863,65.954
TWKHH01OPTIPW6V,2021/7/22 06:02,75.7799,65.8405
TWKHH01OPTIPW6V,2021/7/22 05:59,76.0878,66.4327
TWKHH01OPTIPW6V,2021/7/22 05:56,76.0173,65.3442
TWKHH01OPTIPW6V,2021/7/22 05:53,75.4767,65.191
TWKHH01OPTIPW6V,2021/7/22 05:50,75.6356,68.8818
TWKHH01OPTIPW6V,2021/7/22 05:47,76.0848,78.4583
TWKHH01OPTIPW6V,2021/7/22 05:44,88.8466,66.5121
TWKHH01OPTIPW6V,2021/7/22 05:41,75.4033,76.4044
TWKHH01OPTIPW6V,2021/7/22 05:38,92.5861,77.0855
TWKHH01OPTIPW6V,2021/7/22 05:35,88.9083,66.1767
TWKHH01OPTIPW6V,2021/7/22 05:32,75.9579,66.1124
TWKHH01OPTIPW6V,2021/7/22 05:29,75.7967,67.4056
TWKHH01OPTIPW6V,2021/7/22 05:26,75.9242,67.1238
TWKHH01OPTIPW6V,2021/7/22 05:23,75.3381,67.1994
TWKHH01OPTIPW6V,2021/7/22 05:20,76.604,77.3973
TWKHH01OPTIPW6V,2021/7/22 05:17,91.561,75.421
TWKHH01OPTIPW6V,2021/7/22 05:14,83.3925,65.1715
TWKHH01OPTIPW6V,2021/7/22 05:11,75.6789,65.1809
TWKHH01OPTIPW6V,2021/7/22 05:08,72.9602,65.159
TWKHH01OPTIPW6V,2021/7/22 05:05,75.8598,65.7673
TWKHH01OPTIPW6V,2021/7/22 05:02,71.3989,65.6268
TWKHH01OPTIPW6V,2021/7/22 04:59,76.4113,65.5559
TWKHH01OPTIPW6V,2021/7/22 04:56,75.983,65.4837
TWKHH01OPTIPW6V,2021/7/22 04:53,76.3853,65.3666
TWKHH01OPTIPW6V,2021/7/22 04:50,76.2457,64.8168
TWKHH01OPTIPW6V,2021/7/22 04:47,75.4019,64.8351
TWKHH01OPTIPW6V,2021/7/22 04:44,76.0385,65.7311
TWKHH01OPTIPW6V,2021/7/22 04:41,75.2735,65.5194
TWKHH01OPTIPW6V,2021/7/22 04:38,75.7013,71.8294
TWKHH01OPTIPW6V,2021/7/22 04:35,86.1557,76.7324
TWKHH01OPTIPW6V,2021/7/22 04:32,88.3113,74.9859
TWKHH01OPTIPW6V,2021/7/22 04:29,87.3815,66.9575
TWKHH01OPTIPW6V,2021/7/22 04:26,75.4643,71.3384
TWKHH01OPTIPW6V,2021/7/22 04:23,88.9514,77.179
TWKHH01OPTIPW6V,2021/7/22 04:20,87.4442,64.6899
TWKHH01OPTIPW6V,2021/7/22 04:17,76.1645,64.5574
TWKHH01OPTIPW6V,2021/7/22 04:14,77.4869,66.6016
TWKHH01OPTIPW6V,2021/7/22 04:11,75.2364,65.4573
TWKHH01OPTIPW6V,2021/7/22 04:08,75.147,69.7907
TWKHH01OPTIPW6V,2021/7/22 04:05,86.947,64.9689
TWKHH01OPTIPW6V,2021/7/22 04:02,74.0014,67.2081
TWKHH01OPTIPW6V,2021/7/22 03:59,76.1394,65.0774
TWKHH01OPTIPW6V,2021/7/22 03:56,76.3077,63.6851
TWKHH01OPTIPW6V,2021/7/22 03:53,75.2576,63.5809
TWKHH01OPTIPW6V,2021/7/22 03:50,76.0505,65.4365
TWKHH01OPTIPW6V,2021/7/22 03:47,75.6087,65.3932
TWKHH01OPTIPW6V,2021/7/22 03:44,76.1101,64.4354
TWKHH01OPTIPW6V,2021/7/22 03:41,75.7578,63.9389
TWKHH01OPTIPW6V,2021/7/22 03:38,74.6267,63.9128
TWKHH01OPTIPW6V,2021/7/22 03:35,75.9612,63.442
TWKHH01OPTIPW6V,2021/7/22 03:32,75.6385,62.7927
TWKHH01OPTIPW6V,2021/7/22 03:29,76.5144,65.4706
TWKHH01OPTIPW6V,2021/7/22 03:26,74.6743,66.3388
TWKHH01OPTIPW6V,2021/7/22 03:23,76.391,66.057
TWKHH01OPTIPW6V,2021/7/22 03:20,74.9549,64.997
TWKHH01OPTIPW6V,2021/7/22 03:17,75.9817,64.8741
TWKHH01OPTIPW6V,2021/7/22 03:14,76.272,64.0707
TWKHH01OPTIPW6V,2021/7/22 03:11,78.0047,71.5502
TWKHH01OPTIPW6V,2021/7/22 03:08,87.5748,63.2291
TWKHH01OPTIPW6V,2021/7/22 03:05,75.5936,62.4905
TWKHH01OPTIPW6V,2021/7/22 03:02,76.3872,61.8589
TWKHH01OPTIPW6V,2021/7/22 02:59,76.1415,63.2512
TWKHH01OPTIPW6V,2021/7/22 02:56,75.3839,65.711
TWKHH01OPTIPW6V,2021/7/22 02:53,76.5106,65.6172
TWKHH01OPTIPW6V,2021/7/22 02:50,75.1341,65.1239
TWKHH01OPTIPW6V,2021/7/22 02:47,83.1944,75.9263
TWKHH01OPTIPW6V,2021/7/22 02:44,88.5566,76.4294
TWKHH01OPTIPW6V,2021/7/22 02:41,89.1259,65.6644
TWKHH01OPTIPW6V,2021/7/22 02:38,74.7484,65.3901
TWKHH01OPTIPW6V,2021/7/22 02:35,75.7322,73.8551
TWKHH01OPTIPW6V,2021/7/22 02:32,88.9821,64.8969
TWKHH01OPTIPW6V,2021/7/22 02:29,76.6216,64.054
TWKHH01OPTIPW6V,2021/7/22 02:26,75.6418,64.1016
TWKHH01OPTIPW6V,2021/7/22 02:23,75.4087,62.9854
TWKHH01OPTIPW6V,2021/7/22 02:20,75.8365,62.6537
TWKHH01OPTIPW6V,2021/7/22 02:17,77.2471,62.6329
TWKHH01OPTIPW6V,2021/7/22 02:14,76.0724,62.4315
TWKHH01OPTIPW6V,2021/7/22 02:11,75.5305,63.0545
TWKHH01OPTIPW6V,2021/7/22 02:08,73.1382,62.6461
TWKHH01OPTIPW6V,2021/7/22 02:05,73.9878,63.4975
TWKHH01OPTIPW6V,2021/7/22 02:02,75.9473,62.3135
TWKHH01OPTIPW6V,2021/7/22 01:59,75.955,62.0904
TWKHH01OPTIPW6V,2021/7/22 01:56,76.265,70.2447
TWKHH01OPTIPW6V,2021/7/22 01:53,87.5724,61.9522
TWKHH01OPTIPW6V,2021/7/22 01:50,76.9195,62.7194
