,earlystop_patience,kernel_size_1,latent_sample_rate,nb_stacks,start_filter_no,loss,logcosh,val_loss,val_logcosh,epochs_trained,date_time,model_name
0,35,7,16,2,32,0.023379374,0.023379374,0.043831591,0.043831591,197,20210928-052804,TCNAE-20210928-052804:_c=16.00_f=32_k=7_stk=2_er=35
0,49,19,16,2,128,0.000699772,0.000699772,0.043632429,0.043632429,200,20210928-110807,TCNAE-20210928-110807:_c=16.00_f=128_k=19_stk=2_er=49
0,41,8,16,1,32,0.025396429,0.025396429,0.04298716,0.04298716,156,20210928-024008,TCNAE-20210928-024008:_c=16.00_f=32_k=8_stk=1_er=41
0,29,9,16,1,64,0.003998622,0.003998622,0.042673711,0.042673711,191,20210928-063843,TCNAE-20210928-063843:_c=16.00_f=64_k=9_stk=1_er=29
0,37,19,16,3,128,0.000752351,0.000752351,0.042560287,0.042560287,200,20210928-014318,TCNAE-20210928-014318:_c=16.00_f=128_k=19_stk=3_er=37
0,39,4,16,2,128,0.025953323,0.025953323,0.042233247,0.042233247,109,20210928-111341,TCNAE-20210928-111341:_c=16.00_f=128_k=4_stk=2_er=39
0,27,13,32,2,64,0.006111183,0.006111183,0.041916635,0.041916635,200,20210928-050254,TCNAE-20210928-050254:_c=32.00_f=64_k=13_stk=2_er=27
0,38,14,16,4,128,0.00296016,0.00296016,0.040740393,0.040740393,194,20210928-060259,TCNAE-20210928-060259:_c=16.00_f=128_k=14_stk=4_er=38
0,23,18,8,3,16,0.019690212,0.019690212,0.039682552,0.039682552,148,20210928-085717,TCNAE-20210928-085717:_c=8.00_f=16_k=18_stk=3_er=23
0,34,14,16,2,32,0.009223418,0.009223418,0.038268052,0.038268052,183,20210928-052236,TCNAE-20210928-052236:_c=16.00_f=32_k=14_stk=2_er=34
0,22,5,8,2,16,0.025287937,0.025287937,0.037463691,0.037463691,197,20210928-021614,TCNAE-20210928-021614:_c=8.00_f=16_k=5_stk=2_er=22
0,49,15,16,3,128,0.002798798,0.002798798,0.037433963,0.037433963,200,20210928-064310,TCNAE-20210928-064310:_c=16.00_f=128_k=15_stk=3_er=49
0,44,10,16,2,64,0.003449367,0.003449367,0.036598701,0.036598701,200,20210928-040745,TCNAE-20210928-040745:_c=16.00_f=64_k=10_stk=2_er=44
0,31,17,8,4,16,0.016737938,0.016737938,0.036542684,0.036542684,200,20210928-051016,TCNAE-20210928-051016:_c=8.00_f=16_k=17_stk=4_er=31
0,49,19,16,2,64,0.000668593,0.000668593,0.035849474,0.035849474,200,20210928-094507,TCNAE-20210928-094507:_c=16.00_f=64_k=19_stk=2_er=49
0,40,15,16,2,128,0.000502275,0.000502275,0.034993265,0.034993265,200,20210928-023611,TCNAE-20210928-023611:_c=16.00_f=128_k=15_stk=2_er=40
0,31,17,8,3,16,0.012880497,0.012880497,0.034922611,0.034922611,194,20210928-035821,TCNAE-20210928-035821:_c=8.00_f=16_k=17_stk=3_er=31
0,30,11,16,2,64,0.001317267,0.001317267,0.034717634,0.034717634,200,20210928-102426,TCNAE-20210928-102426:_c=16.00_f=64_k=11_stk=2_er=30
0,48,16,8,3,16,0.014144574,0.014144574,0.032153521,0.032153521,166,20210928-082250,TCNAE-20210928-082250:_c=8.00_f=16_k=16_stk=3_er=48
0,23,11,16,1,128,0.000805004,0.000805004,0.031890653,0.031890653,185,20210928-142720,TCNAE-20210928-142720:_c=16.00_f=128_k=11_stk=1_er=23
0,30,9,16,1,64,0.002045339,0.002045339,0.030736646,0.030736646,200,20210928-081627,TCNAE-20210928-081627:_c=16.00_f=64_k=9_stk=1_er=30
0,40,9,8,2,16,0.018564606,0.018564606,0.030052204,0.030052204,200,20210928-043419,TCNAE-20210928-043419:_c=8.00_f=16_k=9_stk=2_er=40
0,41,9,8,3,16,0.019001484,0.019001484,0.029916212,0.029916212,200,20210928-070913,TCNAE-20210928-070913:_c=8.00_f=16_k=9_stk=3_er=41
0,28,16,8,4,32,0.005683898,0.005683898,0.029046685,0.029046685,180,20210928-152453,TCNAE-20210928-152453:_c=8.00_f=32_k=16_stk=4_er=28
0,21,4,8,4,64,0.016069161,0.016069161,0.02851673,0.02851673,109,20210928-042741,TCNAE-20210928-042741:_c=8.00_f=64_k=4_stk=4_er=21
0,48,5,8,3,32,0.017193357,0.017193357,0.028353842,0.028353842,186,20210928-143232,TCNAE-20210928-143232:_c=8.00_f=32_k=5_stk=3_er=48
0,32,2,4,3,16,0.023176828,0.023176828,0.026812548,0.026812548,200,20210928-062203,TCNAE-20210928-062203:_c=4.00_f=16_k=2_stk=3_er=32
0,32,4,4,3,16,0.016625902,0.016625902,0.025756948,0.025756948,200,20210928-095744,TCNAE-20210928-095744:_c=4.00_f=16_k=4_stk=3_er=32
0,26,4,8,1,16,0.020253342,0.020253342,0.024814207,0.024814207,200,20210928-061122,TCNAE-20210928-061122:_c=8.00_f=16_k=4_stk=1_er=26
0,42,18,8,4,128,0.000964302,0.000964302,0.024648512,0.024648512,200,20210928-092225,TCNAE-20210928-092225:_c=8.00_f=128_k=18_stk=4_er=42
0,37,6,4,4,16,0.017933281,0.017933281,0.024116093,0.024116093,200,20210928-122836,TCNAE-20210928-122836:_c=4.00_f=16_k=6_stk=4_er=37
0,38,6,8,2,32,0.00956062,0.00956062,0.023680676,0.023680676,199,20210928-113919,TCNAE-20210928-113919:_c=8.00_f=32_k=6_stk=2_er=38
0,48,5,4,4,16,0.015782624,0.015782624,0.022839081,0.022839081,200,20210928-031135,TCNAE-20210928-031135:_c=4.00_f=16_k=5_stk=4_er=48
0,24,13,8,1,16,0.01103925,0.01103925,0.021957213,0.021957213,200,20210928-143035,TCNAE-20210928-143035:_c=8.00_f=16_k=13_stk=1_er=24
0,35,12,4,4,16,0.008630346,0.008630346,0.021564083,0.021564083,200,20210928-024131,TCNAE-20210928-024131:_c=4.00_f=16_k=12_stk=4_er=35
0,33,19,8,1,16,0.008489307,0.008489307,0.020788543,0.020788543,200,20210928-095602,TCNAE-20210928-095602:_c=8.00_f=16_k=19_stk=1_er=33
0,41,18,8,1,16,0.009501401,0.009501401,0.019421337,0.019421337,200,20210928-141935,TCNAE-20210928-141935:_c=8.00_f=16_k=18_stk=1_er=41
0,45,8,4,4,16,0.01019161,0.01019161,0.019343074,0.019343074,200,20210928-121529,TCNAE-20210928-121529:_c=4.00_f=16_k=8_stk=4_er=45
0,43,13,8,3,32,0.00211845,0.00211845,0.01932136,0.01932136,200,20210928-141443,TCNAE-20210928-141443:_c=8.00_f=32_k=13_stk=3_er=43
0,31,5,8,3,64,0.003030491,0.003030491,0.019044073,0.019044073,200,20210928-140641,TCNAE-20210928-140641:_c=8.00_f=64_k=5_stk=3_er=31
0,21,16,4,4,16,0.006355642,0.006355642,0.018494926,0.018494926,200,20210928-034742,TCNAE-20210928-034742:_c=4.00_f=16_k=16_stk=4_er=21
0,24,16,8,4,128,0.000591301,0.000591301,0.018465327,0.018465327,200,20210928-071714,TCNAE-20210928-071714:_c=8.00_f=128_k=16_stk=4_er=24
0,47,14,8,3,32,0.002146341,0.002146341,0.017507328,0.017507328,200,20210928-133732,TCNAE-20210928-133732:_c=8.00_f=32_k=14_stk=3_er=47
0,26,15,8,2,32,0.001246808,0.001246808,0.017123839,0.017123839,200,20210928-123722,TCNAE-20210928-123722:_c=8.00_f=32_k=15_stk=2_er=26
0,28,14,8,4,128,0.000625919,0.000625919,0.016365996,0.016365996,200,20210928-111539,TCNAE-20210928-111539:_c=8.00_f=128_k=14_stk=4_er=28
0,38,8,8,1,32,0.004581985,0.004581985,0.015697775,0.015697775,200,20210928-020836,TCNAE-20210928-020836:_c=8.00_f=32_k=8_stk=1_er=38
0,44,8,8,3,64,0.001038963,0.001038963,0.014456676,0.014456676,200,20210928-044704,TCNAE-20210928-044704:_c=8.00_f=64_k=8_stk=3_er=44
0,39,5,8,4,128,0.001218184,0.001218184,0.013540976,0.013540976,200,20210928-091516,TCNAE-20210928-091516:_c=8.00_f=128_k=5_stk=4_er=39
0,33,17,4,4,16,0.005301823,0.005301823,0.013505328,0.013505328,200,20210928-051526,TCNAE-20210928-051526:_c=4.00_f=16_k=17_stk=4_er=33
0,31,12,4,3,16,0.007318823,0.007318823,0.013477847,0.013477847,200,20210928-065458,TCNAE-20210928-065458:_c=4.00_f=16_k=12_stk=3_er=31
0,49,13,8,1,32,0.001721878,0.001721878,0.013220275,0.013220275,200,20210928-090314,TCNAE-20210928-090314:_c=8.00_f=32_k=13_stk=1_er=49
0,30,17,8,1,32,0.001410724,0.001410724,0.013136967,0.013136967,200,20210928-110054,TCNAE-20210928-110054:_c=8.00_f=32_k=17_stk=1_er=30
0,30,5,8,3,128,0.000639626,0.000639626,0.012099409,0.012099409,200,20210928-142134,TCNAE-20210928-142134:_c=8.00_f=128_k=5_stk=3_er=30
0,24,6,4,2,16,0.008348815,0.008348815,0.011602039,0.011602039,200,20210928-145306,TCNAE-20210928-145306:_c=4.00_f=16_k=6_stk=2_er=24
0,38,5,8,1,64,0.001531945,0.001531945,0.010853745,0.010853745,200,20210928-062021,TCNAE-20210928-062021:_c=8.00_f=64_k=5_stk=1_er=38
0,45,16,2,4,16,0.005139536,0.005139536,0.01071666,0.01071666,200,20210928-010111,TCNAE-20210928-010111:_c=2.00_f=16_k=16_stk=4_er=45
0,37,13,4,3,16,0.004380914,0.004380914,0.010642996,0.010642996,200,20210928-035427,TCNAE-20210928-035427:_c=4.00_f=16_k=13_stk=3_er=37
0,30,14,4,4,32,0.002447144,0.002447144,0.010405465,0.010405465,200,20210928-153006,TCNAE-20210928-153006:_c=4.00_f=32_k=14_stk=4_er=30
0,41,17,8,4,64,0.000596122,0.000596122,0.010394715,0.010394715,200,20210928-064857,TCNAE-20210928-064857:_c=8.00_f=64_k=17_stk=4_er=41
0,29,3,4,1,16,0.009488303,0.009488303,0.010084847,0.010084847,200,20210928-045404,TCNAE-20210928-045404:_c=4.00_f=16_k=3_stk=1_er=29
0,47,8,8,3,128,0.00029164,0.00029164,0.00982694,0.00982694,200,20210928-093244,TCNAE-20210928-093244:_c=8.00_f=128_k=8_stk=3_er=47
0,30,3,4,4,64,0.003382091,0.003382091,0.009786279,0.009786279,200,20210928-042231,TCNAE-20210928-042231:_c=4.00_f=64_k=3_stk=4_er=30
0,47,13,8,3,64,0.000749989,0.000749989,0.009708507,0.009708507,200,20210928-102721,TCNAE-20210928-102721:_c=8.00_f=64_k=13_stk=3_er=47
0,20,12,4,2,16,0.004892194,0.004892194,0.009530738,0.009530738,200,20210928-064019,TCNAE-20210928-064019:_c=4.00_f=16_k=12_stk=2_er=20
0,35,15,8,3,64,0.000454961,0.000454961,0.009479507,0.009479507,200,20210928-041037,TCNAE-20210928-041037:_c=8.00_f=64_k=15_stk=3_er=35
0,31,19,8,3,64,0.000424639,0.000424639,0.009450197,0.009450197,200,20210928-124851,TCNAE-20210928-124851:_c=8.00_f=64_k=19_stk=3_er=31
0,35,7,4,3,32,0.004284671,0.004284671,0.00922267,0.00922267,200,20210928-151039,TCNAE-20210928-151039:_c=4.00_f=32_k=7_stk=3_er=35
0,31,11,8,2,64,0.000482404,0.000482404,0.009167802,0.009167802,200,20210928-022257,TCNAE-20210928-022257:_c=8.00_f=64_k=11_stk=2_er=31
0,29,16,4,3,16,0.004828434,0.004828434,0.009016997,0.009016997,200,20210928-013552,TCNAE-20210928-013552:_c=4.00_f=16_k=16_stk=3_er=29
